name,energy,fflags,visible,opts
i0,0.0,,,
i1,-0.852227615452421,,,
i2,-0.835985905573125,,,
i3,-0.658092118682362,,,
i4,-1.83580948741337,,,
i5,-1.2552693821392,,,
i6,0.360585482759916,,,
i7,-2.22748418685524,,,
i8,-1.10849023087826,,,
i9,-0.716815531436168,,,
i10,-0.336767655242284,,,
i11,-1.18899527069493,,,
i12,-0.608455165420764,,,
i13,-0.669456266136876,,,
i14,-0.0889161608629365,,,
i15,-0.149917261578821,,,
i16,-1.00214487703124,,,
i17,-1.33031938991417,,,
i18,-0.902446042398196,,,
i19,-1.75467365785084,,,
i20,-1.24146932577582,,,
i21,-1.26163799571668,,,
i22,-0.825778274053391,,,
i23,-0.434103574611299,,,
i24,-1.28633119006395,,,
i25,-0.705791084790008,,,
i26,-0.766792185505892,,,
i27,-1.38930547846189,,,
i28,-2.24153309391431,,,
i29,-1.84985839447222,,,
i30,-1.26931828919828,,,
i31,-0.210961174312843,,,
i32,-1.06318878976526,,,
i33,-0.486119173657244,,,
i34,-0.367633589767138,,,
H2(g),0.0,i,,
CO2(g),0.0,i,,
CO(g),0.0,i,,
H2O(g),0.299584382044031,i,,
CH4(g),-1.06174055003157,i,,
CH3OH(g),-0.360107061959297,i,,
